time, AccX, AccY, AccZ, EulerX, EulerY, EulerZ
09:39:36:570,0.100,-0.010,-0.070,-95.230,-89.610,-4.990
09:39:36:603,0.120,0.000,-0.020,-93.920,-89.220,-5.990
09:39:36:636,0.140,0.040,-0.030,-90.710,-88.940,-6.650
09:39:36:670,0.100,0.000,0.000,-91.710,-88.470,-7.920
09:39:36:703,0.140,0.020,0.020,-89.460,-88.880,-5.060
09:39:36:737,0.140,0.020,0.020,-89.460,-88.880,-5.060
09:39:36:770,0.140,0.020,0.020,-89.460,-88.880,-5.060
09:39:36:803,0.140,0.020,0.020,-89.460,-88.880,-5.060
09:39:36:836,0.160,-0.050,0.030,-85.420,-88.480,-9.760
09:39:36:870,-0.060,-0.190,-0.050,-88.950,-89.900,-8.760
09:39:36:903,0.060,0.090,-0.130,-92.610,-91.480,1.760
09:39:36:936,0.060,0.090,-0.130,-92.610,-91.480,1.760
09:39:36:970,0.060,0.090,-0.130,-92.610,-91.480,1.760
09:39:37:003,0.040,-0.020,-0.120,-98.960,-90.890,-3.620
09:39:37:036,0.000,0.010,-0.120,-96.030,-87.440,-2.240
09:39:37:070,0.020,0.000,-0.110,-97.050,-87.970,0.510
09:39:37:102,0.000,0.020,-0.120,-96.210,-87.910,-1.410
09:39:37:136,0.000,0.020,-0.120,-96.210,-87.910,-1.410
09:39:37:170,0.000,0.020,-0.120,-96.210,-87.910,-1.410
09:39:37:202,-0.020,0.050,-0.160,-97.370,-86.770,-0.230
09:39:37:236,0.000,0.020,-0.150,-99.420,-86.330,0.910
09:39:37:269,0.000,-0.050,-0.120,-98.300,-85.620,-0.420
09:39:37:302,0.040,-0.060,-0.110,-95.920,-84.420,-0.460
09:39:37:336,0.040,-0.060,-0.110,-95.920,-84.420,-0.460
09:39:37:369,0.040,-0.060,-0.110,-95.920,-84.420,-0.460
09:39:37:402,0.050,-0.020,-0.090,-96.020,-83.770,-2.400
09:39:37:436,0.040,-0.010,-0.100,-94.950,-82.540,-3.000
09:39:37:469,0.040,0.010,-0.060,-95.740,-82.470,-2.280
09:39:37:502,0.030,0.010,-0.050,-93.280,-82.140,-2.970
09:39:37:536,0.030,0.010,-0.050,-93.280,-82.140,-2.970
09:39:37:569,0.030,0.010,-0.050,-93.280,-82.140,-2.970
09:39:37:602,0.000,0.010,0.000,-92.430,-81.780,-1.690
09:39:37:635,-0.040,0.040,-0.010,-89.280,-81.340,0.370
09:39:37:669,-0.060,0.000,0.000,-89.760,-80.670,2.840
09:39:37:702,0.090,-0.140,-0.070,-89.150,-78.400,3.630
09:39:37:735,0.090,-0.140,-0.070,-89.150,-78.400,3.630
09:39:37:769,0.090,-0.140,-0.070,-89.150,-78.400,3.630
09:39:37:802,0.120,-0.020,-0.090,-94.020,-75.350,-4.260
09:39:37:836,0.070,-0.130,-0.110,-95.450,-74.020,-7.200
09:39:37:869,0.100,0.000,-0.170,-95.700,-76.790,-3.730
